Area Fips,State Name,Annual Avg Emplvl,Annual Avg Estabs,Annual Avg Wkly Wage,Avg Annual Pay,Total Annual Wages
13067,Georgia,384275,28427,1491,77531,29793346784
13069,Georgia,17889,1028,917,47678,852895306
13071,Georgia,15616,1170,884,45979,718014551
13073,Georgia,39629,3525,955,49681,1968797187
13075,Georgia,4662,414,834,43348,202106278
13077,Georgia,48808,3688,1043,54215,2646103435
13079,Georgia,1313,153,799,41546,54535580
13081,Georgia,8703,625,924,48040,418100380
13083,Georgia,4535,310,908,47218,214137627
13085,Georgia,11405,1030,821,42703,487037219
13087,Georgia,8682,802,888,46182,400979051
13089,Georgia,310019,23556,1462,76011,23564985807
13091,Georgia,4956,377,783,40731,201859148
13093,Georgia,2483,230,916,47624,118235046
13095,Georgia,46025,2628,1041,54123,2491051154
13097,Georgia,51003,3527,1114,57949,2955572310
13099,Georgia,3658,275,1103,57332,209691794
13101,Georgia,639,62,908,47193,30140466
13103,Georgia,13926,1189,1042,54201,754826392
13105,Georgia,6086,546,876,45565,277300735
13107,Georgia,7062,471,877,45582,321893972
13109,Georgia,4539,283,824,42860,194536306
13111,Georgia,7441,828,859,44667,332366010
13113,Georgia,49094,4852,1130,58774,2885454377
13115,Georgia,43894,2448,957,49770,2184613218
13117,Georgia,88777,8896,1249,64971,5767938376
13119,Georgia,8125,610,898,46716,379561675
13121,Georgia,948157,72716,1939,100817,95589916805
13123,Georgia,8067,825,847,44051,355351580
13125,Georgia,387,49,716,37227,14416158
13127,Georgia,42456,3330,1038,53989,2292136093
13129,Georgia,24899,1241,1100,57205,1424356613
13131,Georgia,5899,575,868,45151,266360432
13133,Georgia,7182,627,1017,52883,379797177
13135,Georgia,386500,34096,1281,66588,25736108339
13137,Georgia,15000,1149,941,48929,733923962
13139,Georgia,101986,5941,1229,63932,6520162580
13141,Georgia,1456,98,850,44202,64347071
13143,Georgia,7760,619,1028,53448,414738994
13145,Georgia,6557,585,909,47289,310068830
13147,Georgia,7936,597,955,49680,394254853
13149,Georgia,2138,176,1188,61776,132091662
13151,Georgia,76873,5514,1007,52361,4025162335
13153,Georgia,65782,3475,1114,57953,3812239354
13155,Georgia,2044,165,876,45550,93085981
13157,Georgia,45812,2142,970,50463,2311785125
13159,Georgia,2435,270,776,40328,98198165
13161,Georgia,4260,286,897,46663,198798513
13163,Georgia,4888,407,948,49321,241066989
13165,Georgia,1641,128,890,46290,75961571
13167,Georgia,1362,143,803,41753,56888462
13169,Georgia,4199,421,901,46841,196706335
13171,Georgia,4461,355,973,50573,225613861
13173,Georgia,1407,127,858,44639,62825933
13175,Georgia,19708,1224,1011,52584,1036356157
13177,Georgia,7353,612,926,48163,354120595
13179,Georgia,19816,1111,992,51607,1022659905
13181,Georgia,1453,186,808,42032,61075663
13183,Georgia,1403,143,790,41083,57652906
13185,Georgia,49348,3318,933,48531,2394941317
13187,Georgia,8510,711,947,49223,418879231
13189,Georgia,7064,501,845,43918,310217052
13191,Georgia,1772,248,826,42972,76139352
13193,Georgia,2873,236,1046,54399,156268894
13195,Georgia,4034,505,858,44626,179997891
13197,Georgia,1282,124,777,40419,51837742
13199,Georgia,4842,415,1007,52384,253619161
13201,Georgia,1935,165,1008,52433,101435771
13205,Georgia,6477,482,874,45455,294408438
13207,Georgia,8072,688,1054,54833,442596562
13209,Georgia,1500,147,768,39939,59911456
13211,Georgia,8799,693,997,51852,456240477
13213,Georgia,8252,539,869,45202,373026086
13215,Georgia,89176,5414,1069,55578,4956257041
13217,Georgia,27708,2169,1056,54919,1521680125
13219,Georgia,16112,1615,998,51898,836193239
13221,Georgia,2094,249,881,45812,95916003
13223,Georgia,30033,3011,937,48705,1462784449
13225,Georgia,10495,655,1024,53255,558907677
13227,Georgia,9212,932,1072,55748,513530582
13229,Georgia,4532,442,871,45273,205170012
13231,Georgia,3431,389,931,48412,166086915
13233,Georgia,11149,817,937,48735,543336045
13235,Georgia,2816,226,909,47261,133086157
13237,Georgia,6311,624,920,47828,301830560
13239,Georgia,313,44,734,38187,11965415
13241,Georgia,5758,622,801,41641,239780940
13243,Georgia,1719,167,824,42829,73626188
13245,Georgia,104210,5155,1125,58481,6094355217
13247,Georgia,35707,2636,1179,61314,2189304593
